Id,LotFrontage,LotArea,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
27,60.0,7200,NAmes,5,1951,2000,0.0,3,CBlock,3.0,234,180,900,3,Y,SBrkr,900,0,900,1,0,3,1,4,0,Detchd,2005.0,Unf,2,576,222,32,134800
28,98.0,11478,NridgHt,8,2007,2008,200.0,4,PConc,5.0,1218,486,1704,5,Y,SBrkr,1704,0,1704,2,0,3,1,4,1,Attchd,2008.0,RFn,3,772,0,50,306000
29,47.0,16321,NAmes,5,1957,1997,0.0,3,CBlock,3.0,1277,207,1484,3,Y,SBrkr,1600,0,1600,1,0,2,1,3,2,Attchd,1957.0,RFn,1,319,288,258,207500
30,60.0,6324,BrkSide,4,1927,1950,0.0,3,BrkTil,3.0,0,520,520,2,N,SBrkr,520,0,520,1,0,1,1,2,0,Detchd,1920.0,Unf,1,240,49,0,68500
31,50.0,8500,IDOTRR,4,1920,1950,0.0,3,BrkTil,3.0,0,649,649,3,N,SBrkr,649,668,1317,1,0,3,1,3,0,Detchd,1920.0,Unf,1,250,0,54,40000
32,69.0,8544,Sawyer,5,1966,2006,0.0,3,CBlock,3.0,0,1228,1228,4,Y,SBrkr,1228,0,1228,1,1,3,1,4,0,Attchd,1966.0,Unf,1,271,0,65,149350
33,85.0,11049,CollgCr,8,2007,2007,0.0,4,PConc,5.0,0,1234,1234,5,Y,SBrkr,1234,0,1234,2,0,3,1,4,0,Attchd,2007.0,RFn,2,484,0,30,179900
34,70.0,10552,NAmes,5,1959,1959,0.0,3,CBlock,3.0,1018,380,1398,4,Y,SBrkr,1700,0,1700,1,1,4,1,4,1,Attchd,1959.0,RFn,2,447,0,38,165500
35,60.0,7313,NridgHt,9,2005,2005,246.0,5,PConc,5.0,1153,408,1561,5,Y,SBrkr,1561,0,1561,2,0,2,1,5,1,Attchd,2005.0,Fin,2,556,203,47,277500
36,108.0,13418,NridgHt,8,2004,2005,132.0,4,PConc,5.0,0,1117,1117,5,Y,SBrkr,1132,1320,2452,3,1,4,1,4,1,BuiltIn,2004.0,Fin,3,691,113,32,309000
37,112.0,10859,CollgCr,5,1994,1995,0.0,3,PConc,4.0,0,1097,1097,5,Y,SBrkr,1097,0,1097,1,1,3,1,3,0,Attchd,1995.0,Unf,2,672,392,64,145000
38,74.0,8532,NAmes,5,1954,1990,650.0,3,CBlock,3.0,1213,84,1297,4,Y,SBrkr,1297,0,1297,1,0,3,1,3,1,Attchd,1954.0,Fin,2,498,0,0,153000
39,68.0,7922,NAmes,5,1953,2007,0.0,3,CBlock,3.0,731,326,1057,3,Y,SBrkr,1057,0,1057,1,0,3,1,4,0,Detchd,1953.0,Unf,1,246,0,52,109000
40,65.0,6040,Edwards,4,1955,1955,0.0,3,PConc,4.0,0,0,0,3,N,FuseP,1152,0,1152,2,0,2,2,2,0,,,,0,0,0,0,82000
41,84.0,8658,NAmes,6,1965,1965,101.0,3,CBlock,3.0,643,445,1088,5,Y,SBrkr,1324,0,1324,2,0,3,1,3,1,Attchd,1965.0,RFn,2,440,0,138,160000
42,115.0,16905,Timber,5,1959,1959,0.0,3,CBlock,3.0,967,383,1350,4,Y,SBrkr,1328,0,1328,1,1,2,1,3,2,Attchd,1959.0,RFn,1,308,0,104,170000
43,69.0,9180,SawyerW,5,1983,1983,0.0,3,CBlock,4.0,747,0,840,4,Y,SBrkr,884,0,884,1,0,2,1,4,0,Attchd,1983.0,RFn,2,504,240,0,144000
44,69.0,9200,CollgCr,5,1975,1980,0.0,3,CBlock,4.0,280,167,938,3,Y,SBrkr,938,0,938,1,0,3,1,3,0,Detchd,1977.0,Unf,1,308,145,0,130250
45,70.0,7945,NAmes,5,1959,1959,0.0,3,CBlock,3.0,179,465,1150,5,Y,FuseA,1150,0,1150,1,0,3,1,3,0,Attchd,1959.0,RFn,1,300,0,0,141000
46,61.0,7658,NridgHt,9,2005,2005,412.0,5,PConc,5.0,456,1296,1752,5,Y,SBrkr,1752,0,1752,2,0,2,1,5,1,Attchd,2005.0,RFn,2,576,196,82,319900
47,48.0,12822,Mitchel,7,2003,2003,0.0,4,PConc,5.0,1351,83,1434,5,Y,SBrkr,1518,631,2149,1,1,1,1,4,1,Attchd,2003.0,RFn,2,670,168,43,239686
48,84.0,11096,Somerst,8,2006,2006,0.0,4,PConc,4.0,24,1632,1656,5,Y,SBrkr,1656,0,1656,2,0,3,1,4,0,Attchd,2006.0,RFn,3,826,0,146,249700
49,33.0,4456,OldTown,4,1920,2008,0.0,3,BrkTil,3.0,0,736,736,4,Y,SBrkr,736,716,1452,2,0,2,3,3,0,,,,0,0,0,0,113000
50,66.0,7742,Sawyer,5,1966,1966,0.0,3,CBlock,3.0,763,192,955,5,Y,SBrkr,955,0,955,1,0,3,1,3,0,Attchd,1966.0,Unf,1,386,0,0,127000
51,69.0,13869,Gilbert,6,1997,1997,0.0,3,PConc,4.0,182,612,794,4,Y,SBrkr,794,676,1470,2,0,3,1,3,0,Attchd,1997.0,Fin,2,388,0,75,177000
52,52.0,6240,BrkSide,6,1934,1950,0.0,3,PConc,3.0,0,816,816,3,Y,SBrkr,816,0,1176,1,0,3,1,3,1,Detchd,1985.0,Unf,2,528,112,0,114500
53,110.0,8472,IDOTRR,5,1963,1963,0.0,2,CBlock,4.0,104,0,816,3,N,SBrkr,816,0,816,1,0,2,1,3,0,CarPort,1963.0,Unf,2,516,106,0,110000
54,68.0,50271,Veenker,9,1981,1987,0.0,4,CBlock,5.0,1810,32,1842,4,Y,SBrkr,1842,0,1842,0,1,0,1,4,1,Attchd,1981.0,Fin,3,894,857,72,385000
55,60.0,7134,NAmes,5,1955,1955,0.0,3,CBlock,3.0,384,0,384,3,Y,SBrkr,1360,0,1360,1,0,3,1,3,1,Detchd,1962.0,Unf,2,572,0,50,130000
56,100.0,10175,NAmes,6,1964,1964,272.0,3,CBlock,3.0,490,935,1425,4,Y,SBrkr,1425,0,1425,2,0,3,1,3,1,Attchd,1964.0,RFn,2,576,0,0,180500
57,24.0,2645,Somerst,8,1999,2000,456.0,4,PConc,4.0,649,321,970,5,Y,SBrkr,983,756,1739,2,1,3,1,4,0,Attchd,1999.0,Fin,2,480,115,0,172500
58,89.0,11645,CollgCr,7,2004,2004,0.0,4,PConc,4.0,0,860,860,5,Y,SBrkr,860,860,1720,2,1,3,1,4,0,Attchd,2004.0,RFn,2,565,0,70,196500
59,66.0,13682,StoneBr,10,2006,2006,1031.0,5,PConc,5.0,0,1410,1410,5,Y,SBrkr,1426,1519,2945,3,1,3,1,4,1,BuiltIn,2006.0,Fin,3,641,192,0,438780
60,60.0,7200,CollgCr,5,1972,1972,0.0,3,CBlock,3.0,632,148,780,5,Y,SBrkr,780,0,780,1,0,2,1,3,0,Detchd,1973.0,Unf,1,352,196,0,124900
61,63.0,13072,SawyerW,6,2004,2004,0.0,3,PConc,4.0,941,217,1158,5,Y,SBrkr,1158,0,1158,1,1,3,1,4,0,Detchd,2006.0,Unf,2,576,0,50,158000
62,60.0,7200,IDOTRR,5,1920,1996,0.0,3,BrkTil,3.0,0,530,530,3,N,SBrkr,581,530,1111,1,0,3,1,2,0,Detchd,1935.0,Unf,1,288,0,0,101000
63,44.0,6442,NridgHt,8,2006,2006,178.0,4,PConc,4.0,24,1346,1370,5,Y,SBrkr,1370,0,1370,2,0,2,1,4,1,Attchd,2006.0,RFn,2,484,120,49,202500
64,50.0,10300,OldTown,7,1921,1950,0.0,3,BrkTil,3.0,0,576,576,4,Y,SBrkr,902,808,1710,2,0,3,1,3,0,Detchd,1990.0,Unf,2,480,12,11,140000
65,69.0,9375,CollgCr,7,1997,1998,573.0,3,PConc,4.0,739,318,1057,5,Y,SBrkr,1057,977,2034,2,1,3,1,4,0,Attchd,1998.0,RFn,2,645,576,36,219500
66,76.0,9591,NridgHt,8,2004,2005,344.0,4,PConc,5.0,0,1143,1143,5,Y,SBrkr,1143,1330,2473,2,1,4,1,4,1,BuiltIn,2004.0,RFn,3,852,192,151,317000
67,69.0,19900,NAmes,7,1970,1989,287.0,3,CBlock,4.0,912,1035,1947,3,Y,SBrkr,2207,0,2207,2,0,3,1,3,1,Attchd,1970.0,RFn,2,576,301,0,180000
68,72.0,10665,CollgCr,7,2003,2003,167.0,4,PConc,4.0,1013,440,1453,5,Y,SBrkr,1479,0,1479,2,0,3,1,4,0,Attchd,2003.0,RFn,2,558,144,29,226000
69,47.0,4608,OldTown,4,1945,1950,0.0,3,CBlock,3.0,0,747,747,3,Y,SBrkr,747,0,747,1,0,2,1,3,0,Attchd,1945.0,Unf,1,220,0,0,80000
70,81.0,15593,ClearCr,7,1953,1953,0.0,4,CBlock,3.0,603,701,1304,3,Y,SBrkr,1304,983,2287,2,0,3,1,3,1,Attchd,1953.0,Fin,2,667,0,21,225000
71,95.0,13651,NAmes,7,1973,1973,1115.0,3,CBlock,4.0,1880,343,2223,5,Y,SBrkr,2223,0,2223,2,0,3,1,3,2,Attchd,1973.0,Fin,2,516,300,0,244000
72,69.0,7599,Mitchel,4,1982,2006,0.0,3,CBlock,3.0,565,280,845,3,Y,SBrkr,845,0,845,1,0,2,1,3,0,Detchd,1987.0,Unf,2,360,0,0,129500
73,74.0,10141,Gilbert,7,1998,1998,40.0,3,PConc,4.0,0,832,832,4,Y,SBrkr,885,833,1718,2,1,3,1,3,1,Attchd,1998.0,Fin,2,427,0,94,185000
74,85.0,10200,NAmes,5,1954,2003,104.0,3,CBlock,3.0,320,404,1086,4,Y,SBrkr,1086,0,1086,1,0,3,1,3,0,Attchd,1989.0,Unf,2,490,0,0,144900
75,60.0,5790,OldTown,3,1915,1950,0.0,4,CBlock,2.0,0,840,840,4,N,SBrkr,840,765,1605,2,0,3,2,3,0,Detchd,1915.0,Unf,1,379,0,0,107400
76,21.0,1596,MeadowV,4,1973,1973,0.0,3,CBlock,4.0,462,0,462,3,Y,SBrkr,526,462,988,1,0,2,1,3,0,BuiltIn,1973.0,Unf,1,297,120,101,91000
77,69.0,8475,NAmes,4,1956,1956,0.0,3,CBlock,3.0,228,724,952,5,Y,FuseA,952,0,952,1,0,2,1,3,0,Detchd,1956.0,Unf,1,283,0,0,135750
78,50.0,8635,BrkSide,5,1948,2001,0.0,3,CBlock,3.0,336,295,672,3,Y,SBrkr,1072,213,1285,1,0,2,1,3,0,Detchd,1948.0,Unf,1,240,0,0,127000
79,72.0,10778,Sawyer,4,1968,1968,0.0,3,CBlock,3.0,0,1768,1768,3,N,SBrkr,1768,0,1768,2,0,4,2,3,0,,,,0,0,0,0,136500
80,60.0,10440,OldTown,5,1910,1981,0.0,3,PConc,3.0,0,440,440,4,Y,SBrkr,682,548,1230,1,1,2,1,3,0,Detchd,1966.0,Unf,2,440,74,0,110000
81,100.0,13000,NAmes,6,1968,1968,576.0,3,CBlock,4.0,448,448,896,3,Y,SBrkr,1182,960,2142,2,1,4,1,4,1,Attchd,1968.0,Fin,1,509,0,72,193500
82,32.0,4500,Mitchel,6,1998,1998,443.0,3,PConc,5.0,1201,36,1237,5,Y,SBrkr,1337,0,1337,2,0,2,1,3,0,Attchd,1998.0,Fin,2,405,0,199,153500
83,78.0,10206,Somerst,8,2007,2007,468.0,3,PConc,4.0,33,1530,1563,5,Y,SBrkr,1563,0,1563,2,0,3,1,4,1,Attchd,2007.0,RFn,3,758,144,99,245000
84,80.0,8892,NAmes,5,1960,1960,66.0,3,CBlock,3.0,0,1065,1065,4,Y,SBrkr,1065,0,1065,1,1,3,1,3,0,Detchd,1974.0,Unf,2,461,74,0,126500
85,69.0,8530,Gilbert,7,1995,1996,22.0,3,PConc,4.0,0,384,384,4,Y,SBrkr,804,670,1474,2,1,3,1,3,1,BuiltIn,1995.0,Fin,2,400,120,72,168500
86,121.0,16059,NoRidge,8,1991,1992,284.0,4,CBlock,4.0,0,1288,1288,5,Y,SBrkr,1301,1116,2417,2,1,4,1,4,1,Attchd,1991.0,Unf,2,462,127,82,260000
87,122.0,11911,Gilbert,6,2005,2005,0.0,4,PConc,4.0,0,684,684,5,Y,SBrkr,684,876,1560,2,1,3,1,4,1,BuiltIn,2005.0,Fin,2,400,100,38,174000
88,40.0,3951,Somerst,6,2009,2009,76.0,4,PConc,4.0,0,612,612,5,Y,SBrkr,612,612,1224,2,1,2,1,4,0,Detchd,2009.0,RFn,2,528,0,234,164500
89,105.0,8470,IDOTRR,3,1915,1982,0.0,2,CBlock,3.0,0,1013,1013,3,N,SBrkr,1013,0,1526,1,0,2,1,2,0,,,,0,0,0,0,85000
90,60.0,8070,CollgCr,4,1994,1995,0.0,3,PConc,4.0,588,402,990,5,Y,SBrkr,990,0,990,1,0,3,1,3,0,,,,0,0,0,0,123600
91,60.0,7200,NAmes,4,1950,1950,0.0,3,Slab,4.0,0,0,0,3,Y,FuseA,1040,0,1040,1,0,2,1,3,0,Detchd,1950.0,Unf,2,420,0,29,109900
92,85.0,8500,NAmes,5,1961,1961,203.0,3,CBlock,3.0,600,635,1235,3,Y,SBrkr,1235,0,1235,1,0,2,1,3,0,Attchd,1961.0,Unf,2,480,0,0,98600
93,80.0,13360,Crawfor,5,1921,2006,0.0,3,BrkTil,4.0,713,163,876,5,Y,SBrkr,964,0,964,1,0,2,1,3,0,Detchd,1921.0,Unf,2,432,0,0,163500
94,60.0,7200,OldTown,6,1910,1998,0.0,3,BrkTil,3.0,1046,168,1214,5,N,SBrkr,1260,1031,2291,2,0,4,2,3,1,Detchd,1900.0,Unf,2,506,0,0,133900
95,69.0,9337,CollgCr,6,1997,1997,0.0,3,PConc,4.0,648,176,824,5,Y,SBrkr,905,881,1786,2,1,3,1,4,0,Attchd,1997.0,RFn,2,684,0,162,204750
96,69.0,9765,Gilbert,6,1993,1993,68.0,5,PConc,4.0,310,370,680,4,Y,SBrkr,680,790,1470,2,1,3,1,3,1,BuiltIn,1993.0,Fin,2,420,232,63,185000
97,78.0,10264,CollgCr,7,1999,1999,183.0,4,PConc,4.0,1162,426,1588,5,Y,SBrkr,1588,0,1588,2,0,3,1,4,0,Attchd,1999.0,RFn,2,472,158,29,214000
98,73.0,10921,Edwards,4,1965,1965,48.0,3,CBlock,3.0,520,440,960,3,Y,FuseF,960,0,960,1,0,3,1,3,0,Attchd,1965.0,Fin,1,432,120,0,94750
99,85.0,10625,Edwards,5,1920,1950,0.0,3,BrkTil,3.0,108,350,458,2,N,SBrkr,835,0,835,1,0,2,1,3,0,Basment,1920.0,Unf,1,366,0,0,83000
100,77.0,9320,NAmes,4,1959,1959,0.0,3,CBlock,3.0,569,381,950,2,Y,SBrkr,1225,0,1225,1,1,3,1,3,0,,,,0,0,352,0,128950
101,69.0,10603,NWAmes,6,1977,2001,28.0,3,PConc,3.0,1200,410,1610,4,Y,SBrkr,1610,0,1610,2,0,3,1,4,2,Attchd,1977.0,RFn,2,480,168,68,205000
102,77.0,9206,SawyerW,6,1985,1985,336.0,4,CBlock,4.0,0,741,741,3,Y,SBrkr,977,755,1732,2,1,3,1,4,1,Attchd,1985.0,Fin,2,476,192,46,178000
103,64.0,7018,SawyerW,5,1979,1979,0.0,3,Slab,4.0,0,0,0,3,Y,SBrkr,1535,0,1535,2,0,4,2,3,0,Attchd,1979.0,Unf,2,410,0,0,118964
104,94.0,10402,CollgCr,7,2009,2009,0.0,3,PConc,4.0,0,1226,1226,5,Y,SBrkr,1226,0,1226,2,0,3,1,4,0,Attchd,2009.0,RFn,3,740,0,36,198900
105,69.0,7758,IDOTRR,7,1931,1950,600.0,3,PConc,3.0,224,816,1040,5,Y,FuseF,1226,592,1818,1,1,4,1,3,2,Detchd,1951.0,Unf,1,240,0,0,169500
106,75.0,9375,Somerst,8,2003,2004,768.0,4,PConc,5.0,0,1053,1053,5,Y,SBrkr,1053,939,1992,2,1,3,1,4,1,Attchd,2003.0,RFn,2,648,140,45,250000
107,60.0,10800,OldTown,4,1885,1995,0.0,3,BrkTil,2.0,0,641,641,4,Y,SBrkr,1047,0,1047,1,0,2,1,3,0,Detchd,1954.0,Unf,1,273,0,0,100000
108,50.0,6000,OldTown,5,1948,1950,0.0,3,CBlock,3.0,104,516,789,5,Y,SBrkr,789,0,789,1,0,2,1,3,0,Detchd,1948.0,Unf,1,250,0,0,115000
109,85.0,8500,IDOTRR,5,1919,2005,0.0,3,CBlock,3.0,0,793,793,3,N,FuseF,997,520,1517,2,0,3,1,2,0,,,,0,0,0,0,115000
110,105.0,11751,NWAmes,6,1977,1977,480.0,3,CBlock,4.0,705,1139,1844,5,Y,SBrkr,1844,0,1844,2,0,3,1,3,1,Attchd,1977.0,RFn,2,546,0,122,190000
111,75.0,9525,Edwards,6,1954,1972,0.0,3,CBlock,3.0,444,550,994,4,Y,SBrkr,1216,639,1855,2,0,4,1,3,0,Attchd,1954.0,Unf,1,325,182,0,136900
112,69.0,7750,Gilbert,7,2000,2000,0.0,3,PConc,4.0,250,134,384,5,Y,SBrkr,774,656,1430,2,1,3,1,3,1,BuiltIn,2000.0,Fin,2,400,180,0,180000
113,77.0,9965,CollgCr,7,2007,2007,220.0,4,PConc,5.0,984,280,1264,5,Y,SBrkr,1282,1414,2696,2,1,4,1,5,1,BuiltIn,2007.0,Fin,3,792,120,184,383970
114,69.0,21000,Crawfor,6,1953,1953,184.0,3,CBlock,4.0,35,905,1809,3,Y,SBrkr,2259,0,2259,2,0,3,1,4,2,Basment,1953.0,Unf,2,450,166,120,217000
115,61.0,7259,Crawfor,6,1945,2002,0.0,3,CBlock,3.0,774,104,1028,5,Y,SBrkr,1436,884,2320,2,1,3,1,4,1,Detchd,1945.0,Unf,1,180,224,0,259500
116,34.0,3230,Somerst,6,1999,1999,1129.0,3,PConc,4.0,419,310,729,4,Y,SBrkr,729,729,1458,2,1,2,1,3,1,Detchd,1999.0,Unf,2,440,0,32,176000
117,69.0,11616,Sawyer,5,1962,1962,116.0,3,CBlock,3.0,170,252,1092,3,Y,SBrkr,1092,0,1092,1,0,3,1,3,1,Attchd,1962.0,Unf,1,288,0,20,139000
118,74.0,8536,Edwards,5,2006,2007,0.0,3,PConc,4.0,0,1125,1125,4,Y,SBrkr,1125,0,1125,1,1,2,1,3,0,Attchd,2007.0,Unf,2,430,80,64,155000
119,90.0,12376,SawyerW,7,1990,1990,0.0,3,PConc,4.0,1470,203,1673,4,Y,SBrkr,1699,1523,3222,3,0,5,1,4,2,Attchd,1990.0,Unf,3,594,367,0,320000
120,65.0,8461,CollgCr,6,2005,2006,0.0,4,PConc,4.0,0,728,728,5,Y,SBrkr,728,728,1456,2,1,3,1,4,1,Attchd,2005.0,Fin,2,390,0,24,163990
121,69.0,21453,ClearCr,6,1969,1969,0.0,3,CBlock,3.0,938,0,938,5,Y,SBrkr,988,0,988,1,0,1,1,3,2,Attchd,1969.0,Unf,2,540,0,130,180000
122,50.0,6060,IDOTRR,4,1939,1950,0.0,3,PConc,3.0,0,732,732,4,Y,SBrkr,772,351,1123,1,0,3,1,3,0,Detchd,1979.0,Unf,1,264,0,0,100000
123,75.0,9464,NAmes,6,1958,1958,135.0,3,CBlock,3.0,570,510,1080,4,Y,SBrkr,1080,0,1080,1,0,3,1,3,0,Attchd,1958.0,Unf,1,288,0,0,136000
124,55.0,7892,SawyerW,6,1993,1993,0.0,4,PConc,4.0,300,899,1199,5,Y,SBrkr,1199,0,1199,2,0,2,1,4,0,Attchd,1993.0,RFn,2,530,0,63,153900
125,48.0,17043,NWAmes,6,1979,1998,0.0,3,CBlock,4.0,0,1362,1362,3,Y,SBrkr,1586,0,1586,2,0,3,1,3,1,Attchd,1979.0,Unf,2,435,192,0,181000
126,60.0,6780,IDOTRR,6,1935,1982,0.0,3,CBlock,3.0,490,30,520,4,N,SBrkr,520,0,754,1,0,2,1,3,0,,,,0,0,53,0,84500
127,69.0,4928,NPkVill,6,1976,1976,0.0,3,CBlock,4.0,120,958,1078,3,Y,SBrkr,958,0,958,2,0,2,1,3,1,Attchd,1977.0,RFn,2,440,0,205,128000
128,55.0,4388,OldTown,5,1930,1950,0.0,3,BrkTil,3.0,116,556,672,5,Y,SBrkr,840,0,840,1,0,3,1,3,1,,,,0,0,0,0,87000
129,69.0,7590,NAmes,6,1966,1966,266.0,3,CBlock,3.0,512,148,660,3,Y,SBrkr,660,688,1348,1,1,3,1,3,1,Attchd,1966.0,RFn,2,453,188,108,155000
130,69.0,8973,NAmes,5,1958,1991,85.0,3,CBlock,3.0,567,413,1008,3,Y,FuseA,1053,0,1053,1,1,3,1,5,0,2Types,1998.0,RFn,2,750,0,80,150000
131,88.0,14200,NAmes,7,1966,1966,309.0,3,CBlock,3.0,445,479,924,5,Y,SBrkr,1216,941,2157,2,1,4,1,4,2,Attchd,1966.0,Fin,2,487,105,66,226000
132,69.0,12224,Gilbert,6,2000,2000,40.0,4,PConc,4.0,695,297,992,5,Y,SBrkr,1022,1032,2054,2,1,3,1,4,1,BuiltIn,2000.0,RFn,2,390,24,48,244000
133,75.0,7388,NAmes,5,1959,2002,0.0,3,CBlock,3.0,405,658,1063,4,Y,SBrkr,1327,0,1327,1,0,3,1,4,0,Detchd,1974.0,Unf,2,624,0,0,150750
134,69.0,6853,Timber,8,2001,2002,136.0,4,PConc,5.0,1005,262,1267,5,Y,SBrkr,1296,0,1296,2,0,2,1,4,0,Attchd,2001.0,Fin,2,471,192,25,220000
135,78.0,10335,Sawyer,5,1968,1993,0.0,3,CBlock,3.0,570,891,1461,4,Y,SBrkr,1721,0,1721,2,1,3,1,3,1,Attchd,1968.0,RFn,2,440,0,96,180000
136,80.0,10400,NWAmes,7,1970,1970,288.0,3,PConc,3.0,0,1304,1304,4,Y,SBrkr,1682,0,1682,2,0,3,1,3,1,Attchd,1970.0,Unf,2,530,98,0,174000
