LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,SalePrice_pred
69.0,9180,5,1983,1983,0.0,3,2,4.0,747,0,840,4,1,4.0,884,0,884,1,0,2,1,4,0,2,504,240,0,144000,174821
69.0,9200,5,1975,1980,0.0,3,2,4.0,280,167,938,3,1,4.0,938,0,938,1,0,3,1,3,0,1,308,145,0,130250,352012
70.0,7945,5,1959,1959,0.0,3,2,3.0,179,465,1150,5,1,2.0,1150,0,1150,1,0,3,1,3,0,1,300,0,0,141000,349181
61.0,7658,9,2005,2005,412.0,5,5,5.0,456,1296,1752,5,1,4.0,1752,0,1752,2,0,2,1,5,1,2,576,196,82,319900,306508
48.0,12822,7,2003,2003,0.0,4,5,5.0,1351,83,1434,5,1,4.0,1518,631,2149,1,1,1,1,4,1,2,670,168,43,239686,230524
84.0,11096,8,2006,2006,0.0,4,5,4.0,24,1632,1656,5,1,4.0,1656,0,1656,2,0,3,1,4,0,3,826,0,146,249700,206642
33.0,4456,4,1920,2008,0.0,3,3,3.0,0,736,736,4,1,4.0,736,716,1452,2,0,2,3,3,0,0,0,0,0,113000,115349
66.0,7742,5,1966,1966,0.0,3,2,3.0,763,192,955,5,1,4.0,955,0,955,1,0,3,1,3,0,1,386,0,0,127000,65988
69.0,13869,6,1997,1997,0.0,3,5,4.0,182,612,794,4,1,4.0,794,676,1470,2,0,3,1,3,0,2,388,0,75,177000,153857
52.0,6240,6,1934,1950,0.0,3,5,3.0,0,816,816,3,1,4.0,816,0,1176,1,0,3,1,3,1,2,528,112,0,114500,676521
110.0,8472,5,1963,1963,0.0,2,2,4.0,104,0,816,3,0,4.0,816,0,816,1,0,2,1,3,0,2,516,106,0,110000,484213
68.0,50271,9,1981,1987,0.0,4,2,5.0,1810,32,1842,4,1,4.0,1842,0,1842,0,1,0,1,4,1,3,894,857,72,385000,226428
60.0,7134,5,1955,1955,0.0,3,2,3.0,384,0,384,3,1,4.0,1360,0,1360,1,0,3,1,3,1,2,572,0,50,130000,1283
100.0,10175,6,1964,1964,272.0,3,2,3.0,490,935,1425,4,1,4.0,1425,0,1425,2,0,3,1,3,1,2,576,0,0,180500,144519
24.0,2645,8,1999,2000,456.0,4,5,4.0,649,321,970,5,1,4.0,983,756,1739,2,1,3,1,4,0,2,480,115,0,172500,255107
89.0,11645,7,2004,2004,0.0,4,5,4.0,0,860,860,5,1,4.0,860,860,1720,2,1,3,1,4,0,2,565,0,70,196500,193542
66.0,13682,10,2006,2006,1031.0,5,5,5.0,0,1410,1410,5,1,4.0,1426,1519,2945,3,1,3,1,4,1,3,641,192,0,438780,426662
60.0,7200,5,1972,1972,0.0,3,2,3.0,632,148,780,5,1,4.0,780,0,780,1,0,2,1,3,0,1,352,196,0,124900,64110
63.0,13072,6,2004,2004,0.0,3,5,4.0,941,217,1158,5,1,4.0,1158,0,1158,1,1,3,1,4,0,2,576,0,50,158000,158256
60.0,7200,5,1920,1996,0.0,3,3,3.0,0,530,530,3,0,4.0,581,530,1111,1,0,3,1,2,0,1,288,0,0,101000,63849
44.0,6442,8,2006,2006,178.0,4,5,4.0,24,1346,1370,5,1,4.0,1370,0,1370,2,0,2,1,4,1,2,484,120,49,202500,224603
50.0,10300,7,1921,1950,0.0,3,3,3.0,0,576,576,4,1,4.0,902,808,1710,2,0,3,1,3,0,2,480,12,11,140000,80924
69.0,9375,7,1997,1998,573.0,3,5,4.0,739,318,1057,5,1,4.0,1057,977,2034,2,1,3,1,4,0,2,645,576,36,219500,233453
76.0,9591,8,2004,2005,344.0,4,5,5.0,0,1143,1143,5,1,4.0,1143,1330,2473,2,1,4,1,4,1,3,852,192,151,317000,303289
69.0,19900,7,1970,1989,287.0,3,2,4.0,912,1035,1947,3,1,4.0,2207,0,2207,2,0,3,1,3,1,2,576,301,0,180000,161834
72.0,10665,7,2003,2003,167.0,4,5,4.0,1013,440,1453,5,1,4.0,1479,0,1479,2,0,3,1,4,0,2,558,144,29,226000,203302
47.0,4608,4,1945,1950,0.0,3,2,3.0,0,747,747,3,1,4.0,747,0,747,1,0,2,1,3,0,1,220,0,0,80000,38762
81.0,15593,7,1953,1953,0.0,4,2,3.0,603,701,1304,3,1,4.0,1304,983,2287,2,0,3,1,3,1,2,667,0,21,225000,149743
95.0,13651,7,1973,1973,1115.0,3,2,4.0,1880,343,2223,5,1,4.0,2223,0,2223,2,0,3,1,3,2,2,516,300,0,244000,295376
69.0,7599,4,1982,2006,0.0,3,2,3.0,565,280,845,3,1,4.0,845,0,845,1,0,2,1,3,0,2,360,0,0,129500,90978
74.0,10141,7,1998,1998,40.0,3,5,4.0,0,832,832,4,1,4.0,885,833,1718,2,1,3,1,3,1,2,427,0,94,185000,178722
85.0,10200,5,1954,2003,104.0,3,2,3.0,320,404,1086,4,1,4.0,1086,0,1086,1,0,3,1,3,0,2,490,0,0,144900,299437
60.0,5790,3,1915,1950,0.0,4,2,2.0,0,840,840,4,0,4.0,840,765,1605,2,0,3,2,3,0,1,379,0,0,107400,79557
21.0,1596,4,1973,1973,0.0,3,2,4.0,462,0,462,3,1,4.0,526,462,988,1,0,2,1,3,0,1,297,120,101,91000,74295
69.0,8475,4,1956,1956,0.0,3,2,3.0,228,724,952,5,1,2.0,952,0,952,1,0,2,1,3,0,1,283,0,0,135750,65469
50.0,8635,5,1948,2001,0.0,3,2,3.0,336,295,672,3,1,4.0,1072,213,1285,1,0,2,1,3,0,1,240,0,0,127000,54985
72.0,10778,4,1968,1968,0.0,3,2,3.0,0,1768,1768,3,0,4.0,1768,0,1768,2,0,4,2,3,0,0,0,0,0,136500,72198
60.0,10440,5,1910,1981,0.0,3,5,3.0,0,440,440,4,1,4.0,682,548,1230,1,1,2,1,3,0,2,440,74,0,110000,70830
100.0,13000,6,1968,1968,576.0,3,2,4.0,448,448,896,3,1,4.0,1182,960,2142,2,1,4,1,4,1,1,509,0,72,193500,169326
32.0,4500,6,1998,1998,443.0,3,5,5.0,1201,36,1237,5,1,4.0,1337,0,1337,2,0,2,1,3,0,2,405,0,199,153500,209892
78.0,10206,8,2007,2007,468.0,3,5,4.0,33,1530,1563,5,1,4.0,1563,0,1563,2,0,3,1,4,1,3,758,144,99,245000,257022
80.0,8892,5,1960,1960,66.0,3,2,3.0,0,1065,1065,4,1,4.0,1065,0,1065,1,1,3,1,3,0,2,461,74,0,126500,83195
69.0,8530,7,1995,1996,22.0,3,5,4.0,0,384,384,4,1,4.0,804,670,1474,2,1,3,1,3,1,2,400,120,72,168500,139211
121.0,16059,8,1991,1992,284.0,4,2,4.0,0,1288,1288,5,1,4.0,1301,1116,2417,2,1,4,1,4,1,2,462,127,82,260000,233441
122.0,11911,6,2005,2005,0.0,4,5,4.0,0,684,684,5,1,4.0,684,876,1560,2,1,3,1,4,1,2,400,100,38,174000,203683
40.0,3951,6,2009,2009,76.0,4,5,4.0,0,612,612,5,1,4.0,612,612,1224,2,1,2,1,4,0,2,528,0,234,164500,181188
105.0,8470,3,1915,1982,0.0,2,2,3.0,0,1013,1013,3,0,4.0,1013,0,1526,1,0,2,1,2,0,0,0,0,0,85000,817339
60.0,8070,4,1994,1995,0.0,3,5,4.0,588,402,990,5,1,4.0,990,0,990,1,0,3,1,3,0,0,0,0,0,123600,79206
60.0,7200,4,1950,1950,0.0,3,1,4.0,0,0,0,3,1,2.0,1040,0,1040,1,0,2,1,3,0,2,420,0,29,109900,7683
85.0,8500,5,1961,1961,203.0,3,2,3.0,600,635,1235,3,1,4.0,1235,0,1235,1,0,2,1,3,0,2,480,0,0,98600,101529
80.0,13360,5,1921,2006,0.0,3,3,4.0,713,163,876,5,1,4.0,964,0,964,1,0,2,1,3,0,2,432,0,0,163500,116829
60.0,7200,6,1910,1998,0.0,3,3,3.0,1046,168,1214,5,0,4.0,1260,1031,2291,2,0,4,2,3,1,2,506,0,0,133900,188437
69.0,9337,6,1997,1997,0.0,3,5,4.0,648,176,824,5,1,4.0,905,881,1786,2,1,3,1,4,0,2,684,0,162,204750,160143
69.0,9765,6,1993,1993,68.0,5,5,4.0,310,370,680,4,1,4.0,680,790,1470,2,1,3,1,3,1,2,420,232,63,185000,206215
78.0,10264,7,1999,1999,183.0,4,5,4.0,1162,426,1588,5,1,4.0,1588,0,1588,2,0,3,1,4,0,2,472,158,29,214000,207123
73.0,10921,4,1965,1965,48.0,3,2,3.0,520,440,960,3,1,1.0,960,0,960,1,0,3,1,3,0,1,432,120,0,94750,76272
85.0,10625,5,1920,1950,0.0,3,3,3.0,108,350,458,2,0,4.0,835,0,835,1,0,2,1,3,0,1,366,0,0,83000,17986
77.0,9320,4,1959,1959,0.0,3,2,3.0,569,381,950,2,1,4.0,1225,0,1225,1,1,3,1,3,0,0,0,352,0,128950,-11417
69.0,10603,6,1977,2001,28.0,3,5,3.0,1200,410,1610,4,1,4.0,1610,0,1610,2,0,3,1,4,2,2,480,168,68,205000,168926
77.0,9206,6,1985,1985,336.0,4,2,4.0,0,741,741,3,1,4.0,977,755,1732,2,1,3,1,4,1,2,476,192,46,178000,190635
64.0,7018,5,1979,1979,0.0,3,1,4.0,0,0,0,3,1,4.0,1535,0,1535,2,0,4,2,3,0,2,410,0,0,118964,7780
94.0,10402,7,2009,2009,0.0,3,5,4.0,0,1226,1226,5,1,4.0,1226,0,1226,2,0,3,1,4,0,3,740,0,36,198900,193004
69.0,7758,7,1931,1950,600.0,3,5,3.0,224,816,1040,5,1,1.0,1226,592,1818,1,1,4,1,3,2,1,240,0,0,169500,187418
75.0,9375,8,2003,2004,768.0,4,5,5.0,0,1053,1053,5,1,4.0,1053,939,1992,2,1,3,1,4,1,2,648,140,45,250000,321962
60.0,10800,4,1885,1995,0.0,3,3,2.0,0,641,641,4,1,4.0,1047,0,1047,1,0,2,1,3,0,1,273,0,0,100000,-16872
50.0,6000,5,1948,1950,0.0,3,2,3.0,104,516,789,5,1,4.0,789,0,789,1,0,2,1,3,0,1,250,0,0,115000,145363
85.0,8500,5,1919,2005,0.0,3,2,3.0,0,793,793,3,0,1.0,997,520,1517,2,0,3,1,2,0,0,0,0,0,115000,59187
105.0,11751,6,1977,1977,480.0,3,2,4.0,705,1139,1844,5,1,4.0,1844,0,1844,2,0,3,1,3,1,2,546,0,122,190000,193310
75.0,9525,6,1954,1972,0.0,3,2,3.0,444,550,994,4,1,4.0,1216,639,1855,2,0,4,1,3,0,1,325,182,0,136900,64414
69.0,7750,7,2000,2000,0.0,3,5,4.0,250,134,384,5,1,4.0,774,656,1430,2,1,3,1,3,1,2,400,180,0,180000,151153
77.0,9965,7,2007,2007,220.0,4,5,5.0,984,280,1264,5,1,4.0,1282,1414,2696,2,1,4,1,5,1,3,792,120,184,383970,303435
69.0,21000,6,1953,1953,184.0,3,2,4.0,35,905,1809,3,1,4.0,2259,0,2259,2,0,3,1,4,2,2,450,166,120,217000,597942
61.0,7259,6,1945,2002,0.0,3,2,3.0,774,104,1028,5,1,4.0,1436,884,2320,2,1,3,1,4,1,1,180,224,0,259500,176132
34.0,3230,6,1999,1999,1129.0,3,5,4.0,419,310,729,4,1,4.0,729,729,1458,2,1,2,1,3,1,2,440,0,32,176000,292049
69.0,11616,5,1962,1962,116.0,3,2,3.0,170,252,1092,3,1,4.0,1092,0,1092,1,0,3,1,3,1,1,288,0,20,139000,444115
74.0,8536,5,2006,2007,0.0,3,5,4.0,0,1125,1125,4,1,4.0,1125,0,1125,1,1,2,1,3,0,2,430,80,64,155000,127120
90.0,12376,7,1990,1990,0.0,3,5,4.0,1470,203,1673,4,1,4.0,1699,1523,3222,3,0,5,1,4,2,3,594,367,0,320000,261476
65.0,8461,6,2005,2006,0.0,4,5,4.0,0,728,728,5,1,4.0,728,728,1456,2,1,3,1,4,1,2,390,0,24,163990,206988
69.0,21453,6,1969,1969,0.0,3,2,3.0,938,0,938,5,1,4.0,988,0,988,1,0,1,1,3,2,2,540,0,130,180000,121902
50.0,6060,4,1939,1950,0.0,3,5,3.0,0,732,732,4,1,4.0,772,351,1123,1,0,3,1,3,0,1,264,0,0,100000,49428
75.0,9464,6,1958,1958,135.0,3,2,3.0,570,510,1080,4,1,4.0,1080,0,1080,1,0,3,1,3,0,1,288,0,0,136000,79265
55.0,7892,6,1993,1993,0.0,4,5,4.0,300,899,1199,5,1,4.0,1199,0,1199,2,0,2,1,4,0,2,530,0,63,153900,170749
48.0,17043,6,1979,1998,0.0,3,2,4.0,0,1362,1362,3,1,4.0,1586,0,1586,2,0,3,1,3,1,2,435,192,0,181000,127343
60.0,6780,6,1935,1982,0.0,3,2,3.0,490,30,520,4,0,4.0,520,0,754,1,0,2,1,3,0,0,0,53,0,84500,431116
69.0,4928,6,1976,1976,0.0,3,2,4.0,120,958,1078,3,1,4.0,958,0,958,2,0,2,1,3,1,2,440,0,205,128000,141466
55.0,4388,5,1930,1950,0.0,3,3,3.0,116,556,672,5,1,4.0,840,0,840,1,0,3,1,3,1,0,0,0,0,87000,30597
69.0,7590,6,1966,1966,266.0,3,2,3.0,512,148,660,3,1,4.0,660,688,1348,1,1,3,1,3,1,2,453,188,108,155000,135701
69.0,8973,5,1958,1991,85.0,3,2,3.0,567,413,1008,3,1,2.0,1053,0,1053,1,1,3,1,5,0,2,750,0,80,150000,139524
88.0,14200,7,1966,1966,309.0,3,2,3.0,445,479,924,5,1,4.0,1216,941,2157,2,1,4,1,4,2,2,487,105,66,226000,170703
69.0,12224,6,2000,2000,40.0,4,5,4.0,695,297,992,5,1,4.0,1022,1032,2054,2,1,3,1,4,1,2,390,24,48,244000,215442
75.0,7388,5,1959,2002,0.0,3,2,3.0,405,658,1063,4,1,4.0,1327,0,1327,1,0,3,1,4,0,2,624,0,0,150750,79808
69.0,6853,8,2001,2002,136.0,4,5,5.0,1005,262,1267,5,1,4.0,1296,0,1296,2,0,2,1,4,0,2,471,192,25,220000,234773
78.0,10335,5,1968,1993,0.0,3,2,3.0,570,891,1461,4,1,4.0,1721,0,1721,2,1,3,1,3,1,2,440,0,96,180000,90873
80.0,10400,7,1970,1970,288.0,3,5,3.0,0,1304,1304,4,1,4.0,1682,0,1682,2,0,3,1,3,1,2,530,98,0,174000,123521
69.0,10355,5,1967,1967,196.0,3,2,3.0,695,519,1214,3,1,4.0,1214,0,1214,2,0,3,1,3,1,1,318,0,111,143000,97769
82.0,11070,7,1988,1989,70.0,3,2,3.0,0,1907,1907,4,1,4.0,1959,0,1959,3,0,5,2,3,0,3,766,0,0,171000,181387
73.0,9066,8,1999,2000,320.0,4,5,4.0,668,336,1004,5,1,4.0,1004,848,1852,2,1,3,1,4,2,3,660,224,106,230000,291983
65.0,15426,6,1997,1997,0.0,3,5,4.0,821,107,928,5,1,4.0,928,836,1764,2,1,3,1,4,0,2,470,276,99,231500,168911
70.0,10500,4,1971,1971,0.0,3,2,3.0,432,432,864,3,1,4.0,864,0,864,1,0,3,1,3,1,0,0,0,0,115000,44459
78.0,11645,7,2005,2005,0.0,4,5,4.0,1300,434,1734,5,1,4.0,1734,0,1734,2,0,3,1,4,0,2,660,160,24,260000,192332
71.0,8520,5,1952,1952,0.0,3,2,3.0,507,403,910,2,1,4.0,910,475,1385,2,0,4,1,3,0,2,720,0,0,166000,89818
78.0,10335,7,1999,1999,183.0,4,5,4.0,679,811,1490,5,1,4.0,1501,0,1501,2,0,3,1,4,0,2,577,144,29,204000,200719
70.0,9100,5,1963,1963,336.0,3,2,3.0,1332,396,1728,3,1,4.0,1728,0,1728,2,0,6,2,3,0,2,504,0,0,125000,162074
24.0,2522,6,2004,2006,50.0,4,5,4.0,0,970,970,5,1,4.0,970,739,1709,2,0,3,1,4,0,2,380,0,40,130000,195229
51.0,6120,5,1931,1993,0.0,3,3,3.0,209,506,715,3,1,2.0,875,0,875,1,0,2,1,3,0,1,180,48,0,105000,63548
69.0,9505,7,2001,2001,180.0,4,5,4.0,0,884,884,5,1,4.0,884,1151,2035,2,1,3,1,4,1,2,434,144,48,222500,233073
63.0,7500,7,2004,2005,120.0,3,5,4.0,680,400,1080,5,1,4.0,1080,0,1080,1,0,3,1,4,0,0,0,0,0,141000,131121
69.0,6240,5,1936,1950,0.0,3,3,4.0,0,896,896,4,1,2.0,896,448,1344,1,0,3,1,3,0,1,240,200,114,115000,88516
120.0,10356,5,1975,1975,0.0,3,2,3.0,716,253,969,3,1,4.0,969,0,969,1,1,3,1,3,0,2,440,0,0,122000,87876
107.0,13891,8,2007,2008,436.0,4,5,5.0,1400,310,1710,5,1,4.0,1710,0,1710,2,0,2,1,4,1,3,866,0,102,372402,310618
69.0,14803,6,1971,1971,252.0,3,2,3.0,416,409,825,4,1,4.0,1097,896,1993,2,1,4,1,3,1,2,495,0,66,190000,132132
69.0,13500,6,1960,1975,0.0,3,2,4.0,429,93,1602,4,1,4.0,1252,0,1252,1,0,1,1,3,1,2,564,409,0,235000,749688
84.0,11340,6,1923,1950,0.0,3,3,3.0,0,1200,1200,3,1,2.0,1200,0,1200,1,0,4,1,3,0,1,312,0,0,125000,68286
60.0,9600,6,1924,1950,0.0,3,3,3.0,0,572,572,2,0,1.0,572,524,1096,1,0,2,1,3,0,0,0,0,8,79000,71366
60.0,7200,5,1950,1950,0.0,3,2,4.0,0,0,0,3,1,1.0,1040,0,1040,1,0,2,1,3,0,2,625,0,0,109500,27520
92.0,12003,8,2009,2010,84.0,4,5,5.0,0,774,774,5,1,4.0,774,1194,1968,2,1,4,1,5,1,3,680,0,75,269500,297497
100.0,12552,7,2004,2005,0.0,4,5,4.0,222,769,991,5,1,4.0,991,956,1947,2,1,3,1,4,1,2,678,0,136,254900,209047
134.0,19378,7,2005,2006,456.0,4,5,4.0,57,1335,1392,5,1,4.0,1392,1070,2462,2,1,4,1,4,1,2,576,239,132,320000,248888
69.0,11120,6,1984,1984,0.0,3,5,4.0,660,572,1232,3,1,4.0,1232,0,1232,2,0,3,1,3,0,2,516,0,0,162500,143555
110.0,13688,9,2003,2004,664.0,4,5,5.0,1016,556,1572,5,1,4.0,1572,1096,2668,2,1,3,1,5,2,3,726,400,0,412500,383218
95.0,12182,7,2005,2005,226.0,4,5,4.0,1201,340,1541,5,1,4.0,1541,0,1541,2,0,3,1,4,1,2,532,0,70,220000,230596
55.0,5500,4,1956,1956,0.0,3,2,3.0,0,882,882,5,1,4.0,882,0,882,1,0,1,1,3,0,0,0,0,0,103200,22835
40.0,5400,6,1926,2004,0.0,3,3,3.0,370,779,1149,4,1,2.0,1149,467,1616,2,0,3,1,4,0,1,216,0,0,152000,122039
62.0,10106,5,1940,1999,0.0,3,3,3.0,351,112,644,4,1,4.0,808,547,1355,2,0,4,2,3,0,0,0,140,0,127500,172849
69.0,10708,5,1955,1993,0.0,4,2,3.0,379,470,1617,5,1,2.0,1867,0,1867,1,0,2,1,3,3,1,303,476,0,190000,538399
86.0,10562,8,2007,2007,300.0,4,5,5.0,1288,294,1582,5,1,4.0,1610,551,2161,1,1,3,1,5,1,3,789,178,120,325624,300998
62.0,8244,7,2004,2004,0.0,4,5,4.0,0,840,840,5,1,4.0,840,880,1720,2,1,3,1,4,1,2,440,100,48,183500,213173
69.0,16669,8,1981,1981,653.0,4,2,4.0,0,1686,1686,3,1,4.0,1707,0,1707,2,1,2,1,3,1,2,511,574,64,228000,223513
69.0,12358,5,1941,1950,0.0,3,2,3.0,360,360,720,3,1,4.0,854,0,1382,1,1,2,1,3,0,2,660,237,0,128500,901802
141.0,31770,6,1960,1960,112.0,3,2,3.0,639,441,1080,2,1,4.0,1656,0,1656,1,0,3,1,3,2,2,528,210,62,215000,66637
44.0,5306,7,1987,1987,0.0,4,5,4.0,495,354,1064,4,1,4.0,1064,703,1767,2,0,2,1,4,1,2,504,441,35,239000,316335
80.0,10197,6,1961,1961,491.0,3,2,3.0,288,700,1362,3,1,4.0,1362,0,1362,1,1,3,1,3,1,2,504,0,20,163000,353969
47.0,12416,6,1986,1986,132.0,3,2,4.0,1398,0,1606,3,1,4.0,1651,0,1651,2,0,3,1,3,1,2,616,192,0,184000,280780
84.0,12615,6,1950,2001,0.0,3,2,3.0,477,725,1202,3,1,4.0,2158,0,2158,2,0,4,1,4,1,2,576,0,29,243000,44909
97.0,10029,6,1988,1989,268.0,4,5,4.0,831,320,1151,3,1,4.0,1164,896,2060,2,1,4,1,3,1,2,521,0,228,211000,202510
69.0,13650,5,1958,1958,0.0,4,2,3.0,57,554,1052,5,1,4.0,1252,668,1920,2,0,4,1,4,1,2,451,0,0,172500,364949
63.0,17423,9,2008,2009,748.0,5,5,5.0,1904,312,2216,5,1,4.0,2234,0,2234,2,0,1,1,5,1,3,1166,0,60,501837,381573
